rep_id,rep_name,email,region_id
1,Anand Venkat,anand.venkat@retailpulse.in,1
2,Bhavana Krishnan,bhavana.krishnan@retailpulse.in,2
3,Chandru Murthy,chandru.murthy@retailpulse.in,3
4,Deepak Natarajan,deepak.natarajan@retailpulse.in,4
5,Eswari Subramaniam,eswari.subramaniam@retailpulse.in,5
6,Farhan Balaji,farhan.balaji@retailpulse.in,1
7,Geetha Sundaram,geetha.sundaram@retailpulse.in,2
8,Hari Rajan,hari.rajan@retailpulse.in,3
9,Indira Venkat,indira.venkat@retailpulse.in,4
10,Jagadish Krishnan,jagadish.krishnan@retailpulse.in,5
11,Kalai Murthy,kalai.murthy@retailpulse.in,1
12,Latha Natarajan,latha.natarajan@retailpulse.in,2
13,Manoj Subramaniam,manoj.subramaniam@retailpulse.in,3
14,Nalini Balaji,nalini.balaji@retailpulse.in,4
15,Omkar Sundaram,omkar.sundaram@retailpulse.in,5
16,Prema Rajan,prema.rajan@retailpulse.in,1
17,Anand Venkat,anand.venkat@retailpulse.in,2
18,Bhavana Krishnan,bhavana.krishnan@retailpulse.in,3
19,Chandru Murthy,chandru.murthy@retailpulse.in,4
20,Deepak Natarajan,deepak.natarajan@retailpulse.in,5
